,BTech Sem-VII (MnC),,SC404,Advanced Matrix Theory,3-0-0-3,MnC Elective,AM2,CEP-106,,,,,,,,,HM484,Modern European Philosophy,3-0-0-3,Open Elective,BK,CEP-106,,,,,,,,,SC404,Advanced Matrix Theory,3-0-0-3,MnC Elective,AM2,CEP-106
,,,SC471,Algorithmic Graph Theory,3-0-2-4,MnC Elective,VS,CEP-206,,,,,,,,,HM333,Human Behaviour Management,3-0-0-3,Open Elective,NB,CEP-108,,,,,,,,,SC471,Algorithmic Graph Theory,3-0-2-4,MnC Elective,VS,CEP-206
,,,HM405,Idea of India,3-0-0-3,Open Elective,GM,CEP-108,,,,,,,,,HM403,Corporate Finance,3-0-0-3,Open Elective,CJ,CEP-209,,,,,,,,,HM405,Idea of India,3-0-0-3,Open Elective,GM,CEP-108
,,,HM432,Organisational Behaviour,3-0-0-3,Open Elective,NB,CEP-204,,,,,,,,,HM404,Indian Society and Governance,2-1-0-3,Open Elective,VM,CEP-104,,,,,,,,,HM432,Organisational Behaviour,3-0-0-3,Open Elective,NB,CEP-204
,,,HM411,Introduction to Speculative Fiction and Films,3-0-0-3,Open Elective,SG,CEP-205,,,,,,,,,HM410,Debating Right and Wrong in the Mahabharata: Style and Context,3-0-0-3,Open Elective,GM,CEP-203,,,,,,,,,HM411,Introduction to Speculative Fiction and Films,3-0-0-3,Open Elective,SG,CEP-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-SS),,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106,,IT582,Foundations of Machine Learning ,3-0-2-4,General Elective (Technical),MVJ,CEP-205,,,,,,,,,IE403,Human Computer Interaction,3-0-2-4,General Elective (Technical),PKS,CEP-103,,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106
,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206,,,,,,,,,,,,,,,,,,,,,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206
,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3,,,,,,,,,,,,,,,,,,,,,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-I (ICT-ML),,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106,,IT582,Foundations of Machine Learning ,3-0-2-4,ML Sp. Core,MVJ,CEP-205,,,,,,,,,IE403,Human Computer Interaction,3-0-2-4,General Elective (Technical),PKS,CEP-103,,SC404,Advanced Matrix Theory,3-0-0-3,General Elective (Maths),AM2,CEP-106
,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206,,,,,,,,,,,,,,,,,,,,,,,SC471,Algorithmic Graph Theory,3-0-2-4,General Elective (Maths),VS,CEP-206
,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3,,,,,,,,,,,,,,,,,,,,,,,IT503,Applied Probability and Statistics ,3-0-0-3,General Elective (Maths),AKT,LT-3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
