Dhirubhai Ambani Institute of Information and Communication Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecture Time-Table (Autumn '2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,Tuesday,,,,,,,Wednesday,,,,,,,Thursday,,,,,,,Friday,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,Slot-8,,,,,,,Slot-6,,,,,,,Slot-7,,,,,,,Slot-3,,,,,
,,,,,,,,,,,,,,,,,HM404,Indian Society and Governance,2-1-0-3,Open Elective,VM,CEP-204,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSc Sem-III (DS),,,,,,,,,IT594,Deep Neural NLP & Applications,3-0-2-4,Technical Elective,SDG,CEP-204,,HM403,Corporate Finance,3-0-0-3,Open Elective,CJ,CEP-209,,IT641,Deep Learning,3-0-2-4,,BG,LAB A-SF,,IT642,Interactive Data Visualization,3-0-2-4,Core,BC,LAB A-SF
,,,,,,,,,,,,,,,,,HM333,Human Behaviour Management,3-0-0-3,Open Elective,NB,CEP-108,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,HM408,AI Ethics and Data Governance,3-0-0-3,Open Elective,AD,CEP-204,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,HM404,Indian Society and Governance,2-1-0-3,Open Elective,VM,CEP-103,,,,,,,,,,,,,,
,MSc Sem-I (AA),,MA615,Fundamentals of Agricultural Science,2-0-0-2,Core,TBD,CEP-109,,,,,,,,,,,,,,,,,,,,,,,MA613,Earth Observations System,3-0-2-4,Core,TBD,CEP-109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00 - 9:50,,,Slot-4,,,,,,,Slot-6,,,,,,,Slot-8,,,,,,,Slot-3,,,,,,,Slot-8,,,,,
,BTech Sem-I (ICT + CS),,SC107,Calculus (Sec A),3-1-0-4,Core,SB2,LT-3,,EL111,Basic Electronic Circuits (Sec A),3-0-2-4,Core,RLD,LT-2,,,,,,,,,PC110,Language and Literature (Sec A),3-0-0-3,Core,AM,LT-3,,,,,,,
